ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,1.50929847673927,9.212329187474065,0.0,0.0137586742789171,0.0769039622130385,0.37202599788578794,210.44607842138802
1990,2357.0,2.561152356455219,15.497999785703382,0.0,0.0226004100546344,0.13629378557855998,0.6156942683211071,312.22054855671
1991,2361.0,3.533739764002575,20.902908316809985,0.0,0.0299222561998524,0.189219398563992,0.8874392476777521,430.191949538426
1992,2271.0,4.400443391354932,24.5757194451345,0.0,0.0459046927239032,0.276351986887566,1.183998733458125,455.490049264754
1993,2324.0,4.948811717431171,27.973698172359494,0.0,0.048054530374534124,0.27121853076569247,1.2771836959395575,491.277242550787
1994,2267.0,5.224701772893412,29.37374402294159,0.0,0.06332596790222655,0.311948914215634,1.34119302363281,562.03302461957
1995,2245.0,5.632680172434861,28.762416589362715,0.0,0.0762747779358197,0.402081578238482,1.5887252992740601,435.455160793855
1996,2344.0,5.963664799571177,31.105830228590413,0.0,0.07592760675356541,0.401254737832909,1.7494507895687825,539.328146299238
1997,2266.0,7.702560132464076,42.668693311896284,0.0,0.11554465427038974,0.509354862090323,2.0769148722375275,1012.02551954983
1998,2277.0,9.97931242339911,53.68154304970346,0.0,0.120077780038825,0.635869582772109,2.93035488757748,1274.50727411327
1999,2289.0,11.04720943700092,56.08673859852037,0.0,0.133506837467389,0.732691695403619,3.13644046183991,965.1883776518649
2000,2254.0,13.165605041731835,71.11479015646526,0.0,0.156748168767164,0.7979442633804725,3.4185095559814025,1719.7782626873002
2001,2024.0,16.457552153046674,73.77688838438833,0.0,0.8653153740687711,2.062851106554395,5.192257380062605,1149.21801062875
2002,2322.0,15.948856547753131,81.07643797403472,0.0,0.25550151124959053,1.1598636987630102,4.5730394109606705,1570.91701973584
2003,2324.0,17.528123220503872,87.87349874061542,0.0,0.23005477486027778,1.12116876183642,4.752000164932227,1536.80984905808
2004,2291.0,20.828303407968864,100.47473321208842,0.0,0.25207673966721245,1.39432739655899,5.503836700522399,2033.05764243026
2005,2183.0,23.27857785970612,107.99635668658489,0.0,0.372777276040291,1.78408199788948,6.817208658406205,1906.2780498531897
2006,2095.0,27.682885004061603,124.00095267563823,0.0,0.48676128570576654,2.23282138578221,8.259184967933255,1852.2308236518697
2007,2031.0,31.335891783987545,136.66973860204905,0.0,0.3960963554468995,2.31555877389953,9.72019983258706,1968.9817440176398
2008,2171.0,32.39160932226586,144.8239489600089,0.0,0.46150819039825497,2.2998281260791003,9.72229070538673,2378.00668861892
2009,2177.0,31.67404091425809,138.61060684002516,0.0,0.450702298722733,2.32319931681362,10.1075392122646,2060.2306904605803
2010,2114.0,33.65942365397208,164.61619407998936,0.0,0.514286520871758,2.42186923627056,10.135951870114525,4418.92578637658
2011,2141.0,34.580020610944445,153.5880969579743,0.0,0.48323711081537796,2.43873901353675,10.7028384617845,3257.6605333523603
2012,2070.0,38.62560100900603,173.71699785310682,0.0,0.5627992767904744,2.59340149707749,11.88579296137175,3391.5365500638104
2013,1988.0,41.6616974779795,178.38064633025166,0.0,0.6175821009610494,3.0867068267389848,12.047619977328573,2253.68007662835
2014,2054.0,41.93872997402852,186.35343867639833,0.0,0.4968658335210658,2.714546410978755,10.840569166490525,2820.8876797878197
2015,2057.0,44.29699734561971,193.28082963003195,0.0,0.615424252442458,3.02546426657851,12.5159543542448,2685.97633237953
2016,2135.0,45.249576228122535,205.15681450067194,0.0,0.588046099489653,2.81181649935506,12.46844820817675,2951.1907038304103
2017,2146.0,48.90951585520378,228.3370713494144,0.0,0.5609966773741324,3.11861112030996,12.583863463257948,3873.39213166871
2018,2031.0,54.98706816380404,252.2912159111318,0.0,0.6377720668934115,3.4077901050778596,14.894374477055651,4172.267198756889
2019,433.0,215.32768588891386,528.7381315801766,0.033737414805859,7.258760151075831,41.007562350876796,159.208243904005,4853.201692648429
