ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,1.080285076682954,4.499873384442137,0.0,0.0531363870597173,0.207885319260311,0.570244600916973,88.2347020040207
1990,2357.0,1.6990255690350147,7.484196584096242,0.0,0.0592544748495874,0.268887993458088,0.7935525031899721,137.837098093127
1991,2361.0,2.1354131738929567,11.856113681175145,0.0,0.0733590881639618,0.33995801259622105,1.02205201453263,343.647110250486
1992,2271.0,2.5731173673906684,12.36514452829916,0.0,0.11255180249397001,0.48266607064696104,1.32215144488215,288.610586800026
1993,2324.0,3.0363359037112043,14.875222365412606,0.0,0.10701576947733274,0.462429781639461,1.5052258577414923,273.054423530349
1994,2267.0,3.371664891186175,16.30610615969588,0.0,0.1991943839468845,0.6236652358700021,1.664571571550405,323.518632073809
1995,2245.0,2.718324734249852,12.008080616710332,0.0,0.147476009175965,0.52047863259595,1.45326143092204,239.84899464163502
1996,2344.0,3.0928619416364405,12.822663488122275,0.0,0.1687462706636745,0.5260183714461004,1.5826479758633125,303.913793712024
1997,2266.0,4.406737085692587,17.375286113812567,0.0,0.32616906948855484,0.7822766627571394,2.349067808336515,346.557901638048
1998,2277.0,6.497922865512341,25.28377851714443,0.0,0.39099327822837204,1.0205561531181502,3.66240782193281,429.191174808053
1999,2289.0,10.05270006434366,36.38499340586705,0.0,0.213017245339386,0.9694060361063901,6.147237213310291,639.0389132917579
2000,2254.0,13.75720756428792,44.199217136919884,0.0,0.388317721422588,1.9432368332299799,10.2805990342219,668.008543421938
2001,2024.0,18.16425483094252,54.45926810849637,0.0,2.1496404001553073,6.01093435293261,16.3466293770778,1329.1962571889599
2002,2322.0,20.40291737235252,54.85561501008805,0.0,2.794776970362922,7.59269194943052,19.048335922424975,950.0971864545829
2003,2324.0,23.334684598792677,63.04434028328555,0.0,2.76863878829791,8.336972451977957,21.088338206550098,1137.28542679107
2004,2291.0,25.106429630876168,58.90303828797304,0.0,3.1007370764143998,9.592877002141089,23.57139261056855,872.336488393733
2005,2183.0,26.63868380931079,66.64250755151978,0.0,3.03384653471509,10.014916125320301,24.20950344585315,1174.7519787896401
2006,2095.0,33.63854022524303,85.35786983702086,0.0,4.85729213537968,13.1580202104533,29.744090150114697,1280.64465274126
2007,2031.0,34.8138233737302,82.26652671648523,0.0,5.019631160065375,13.6743007852464,33.17499236012385,1275.49817041574
2008,2171.0,42.49520987656318,106.97965185007175,0.0,5.3136164800898555,15.641673496885,38.45482413219305,1761.83840072555
2009,2177.0,50.71337311788952,126.90557791522497,0.0,6.96761895995613,19.3668534434818,45.6023903852767,2118.26795633437
2010,2114.0,47.35888734666162,118.5957692264672,0.0,7.224554898934768,17.5813233209119,43.1641820679791,1747.9927742437399
2011,2141.0,49.65786624083629,151.14718809852116,0.0,4.24428876102951,16.7465850640677,45.6549740113105,4201.49706658664
2012,2070.0,42.8739821514015,96.47826963298871,0.0,4.708295741555117,15.62543572288385,41.91594317570518,1431.99334927064
2013,1988.0,44.94197511680085,84.73746779656622,0.0,6.497347116024033,17.573613388899503,46.270764260138826,1357.75240735613
2014,2054.0,54.20573807587408,99.80694887379545,0.0,7.496209446858515,22.0628337091856,54.639359220302104,1177.8121857414599
2015,2057.0,54.72396574173628,111.52970740433251,0.0,8.15191463650976,20.6797489711465,54.9824485003249,1587.1833012232198
2016,2135.0,50.393679505878396,102.31402338526591,0.0,9.562884863440075,22.4683124894846,51.627036060793,1812.95084740059
2017,2146.0,54.97927017781543,118.31225791142813,0.0,8.604836297203915,22.802754688655604,54.397425792849205,1994.03303418662
2018,2031.0,56.830046300018495,116.01989714698583,0.0,9.13526573722929,24.1819205233247,56.9783558086214,1669.38686689776
2019,433.0,114.69062496455678,165.71998846261724,0.227156200849534,22.3849694531526,58.363485015460704,138.180905812996,1349.92832992735
