ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,53.218064775737155,67.71273135008222,0.0537974683544304,20.6179336533639,35.9438988138606,60.712326800201,1532.88371060808
1990,2357.0,76.21839356370062,99.22867093139172,0.068171232586696,26.755070202808103,48.99762417402929,88.76597789524271,1579.67968596663
1991,2361.0,101.65566534827592,118.49832990318203,0.08209399167162401,37.5049873813244,67.61459909228441,120.72018413597701,1539.41917808219
1992,2271.0,138.3124316526946,181.76354332066384,0.49251067063741,53.05256426799415,91.02469135802471,162.1769327108845,4477.86905345758
1993,2324.0,154.79991362935513,190.35149682798405,5.8045218252331106,61.25805075139595,101.58967151015901,180.55125291292796,3241.90553435114
1994,2267.0,198.7390589974523,212.0689289459157,2.06937909534394,87.95434811648414,142.753697749196,231.4241760381675,3279.4565637065602
1995,2245.0,222.31931809537522,218.2632615028884,9.901664493365038,97.7148626817447,164.824494579549,266.471137521222,2384.96078431373
1996,2344.0,320.91759116840933,291.2144136203939,11.3148730350665,149.25464408821324,243.0172375143835,382.229088559096,3114.09634551495
1997,2266.0,448.0431516081395,391.99631443750894,14.7944816861748,221.06473623624748,343.03251655814745,525.4720275312627,4225.66440677966
1998,2277.0,650.346362627415,557.3063595921873,7.576484824039531,316.502548146559,529.908845332328,777.7090047393359,6610.50466562986
1999,2289.0,864.4416618067486,701.317038729931,16.1594851706771,390.85933014354106,752.229646109991,1050.50913115661,7286.75
2000,2254.0,1061.209475329624,855.8214031369293,54.390528361901396,496.1087011280205,908.9375583059335,1267.8720631497,8940.76702508961
2001,2024.0,1583.6450494103328,1119.917396468676,20.0177557458315,1016.37292963061,1288.894806578085,1783.3209030181627,14255.286764705901
2002,2322.0,1691.0275184452926,1099.6611576087635,24.138123485138397,1117.4018186151175,1400.46157096524,1883.4245814941523,13733.2803030303
2003,2324.0,1845.1212374841812,1239.8513465498704,60.644848669355895,1194.607301927555,1522.657703470025,2067.483380978485,13974.0505836576
2004,2291.0,1872.2593756537735,1197.2621902749584,1.5409727947238303,1262.56701062531,1591.9302907158499,2125.2143036728403,13608.4658634538
2005,2183.0,2103.6248958209067,1366.0201945741921,138.157181242694,1381.87544448372,1755.7702913631601,2343.4600993872555,16578.9958677686
2006,2095.0,2492.1995310401753,1542.811432400816,196.546195652174,1608.9599729320648,2069.87887475363,2840.02605815665,16788.341261633897
2007,2031.0,2710.4471985970404,1791.0468653440246,139.301001397299,1752.168883189705,2231.16731116267,3098.2277627342846,25065.693877551003
2008,2171.0,3250.718475615484,1984.310722245505,178.328657747087,2136.57504300414,2680.76191357453,3663.05958052672,22014.443496801698
2009,2177.0,3355.7304802345175,1949.5652309478035,807.5637576784579,2212.65467602522,2805.7627246815196,3807.6740720298103,20662.223333333302
2010,2114.0,3411.624179902336,1972.4964997225688,803.973810156873,2255.17087063151,2838.98261469863,3831.1069068487577,18245.8106060606
2011,2141.0,3728.8255514632287,2207.8305509237634,907.190691927512,2467.35583739837,3110.8663378856895,4195.9693405322,38323.921875
2012,2070.0,4135.726384918117,2428.3053296907183,352.83622670411,2623.4112086725527,3416.263676792175,4865.54604426677,29548.220211161402
2013,1988.0,4332.782099129453,2667.514805772918,1238.24294599018,2762.3301189982176,3585.9356445921403,4945.94550063821,46365.905
2014,2054.0,4992.562047475457,3477.5895258711284,1485.9622003053698,3025.1360168293277,4006.2047800979653,5685.176601952415,35936.5518134715
2015,2057.0,5153.829570697835,3731.1515830833428,1436.9064701162101,3100.60409451435,4070.39407298555,5874.52438457966,41188.6075268817
2016,2136.0,5415.892653430829,3966.143032446374,1505.6744476571398,3304.4549935374826,4282.82669051544,6132.929162992795,70470.0033557047
2017,2150.0,5566.718488831582,3843.797595762446,237.969373709566,3476.8691612027724,4516.285690360804,6189.170342391908,54221.801029159506
2018,2032.0,5994.769441634593,4271.840038528623,1168.0907959338901,3705.7931587309404,4736.824268479165,6630.7085149818995,57381.5475663717
2019,433.0,6456.288799065399,6400.719743980324,1530.46462233133,3624.16133403135,4585.9530972188,6486.638588313629,59033.6689520078
