ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,60.69197087235722,64.11493007649248,35.2749513264764,35.2749513264764,35.9438988138606,60.712326800201,1532.88371060808
1990,2357.0,81.54243611268484,96.30296752068521,35.2749513264764,35.2749513264764,48.99762417402929,88.76597789524271,1579.67968596663
1991,2361.0,105.20089133718218,116.13531796040807,35.2749513264764,37.5049873813244,67.61459909228441,120.72018413597701,1539.41917808219
1992,2271.0,140.33601131261983,180.4866472659851,35.2749513264764,53.05256426799415,91.02469135802471,162.1769327108845,4477.86905345758
1993,2324.0,155.88154181209822,189.6231170535026,35.2749513264764,61.25805075139595,101.58967151015901,180.55125291292796,3241.90553435114
1994,2267.0,199.16018661198243,211.72834746970156,35.2749513264764,87.95434811648414,142.753697749196,231.4241760381675,3279.4565637065602
1995,2245.0,222.65329873722712,217.96632962373081,35.2749513264764,97.7148626817447,164.824494579549,266.471137521222,2384.96078431373
1996,2344.0,320.9654182978767,291.1661772629946,35.2749513264764,149.25464408821324,243.0172375143835,382.229088559096,3114.09634551495
1997,2266.0,448.0521897677337,391.98655670757836,35.2749513264764,221.06473623624748,343.03251655814745,525.4720275312627,4225.66440677966
1998,2277.0,650.3585270834985,557.2926256608785,35.2749513264764,316.502548146559,529.908845332328,777.7090047393359,6610.50466562986
1999,2289.0,864.2271991989843,699.2564266732035,35.2749513264764,390.85933014354106,752.229646109991,1050.50913115661,6755.943517705589
2000,2254.0,1059.0723828387513,839.3405106288591,54.390528361901396,496.1087011280205,908.9375583059335,1267.8720631497,6755.943517705589
2001,2024.0,1567.3702098509664,1008.2891128993871,35.2749513264764,1016.37292963061,1288.894806578085,1783.3209030181627,6755.943517705589
2002,2322.0,1672.0149985338337,970.1795898500739,35.2749513264764,1117.4018186151175,1400.46157096524,1883.4245814941523,6755.943517705589
2003,2324.0,1816.733203680632,1071.4025448668467,60.644848669355895,1194.607301927555,1522.657703470025,2067.483380978485,6755.943517705589
2004,2291.0,1849.0667873536709,1060.2581525461842,35.2749513264764,1262.56701062531,1591.9302907158499,2125.2143036728403,6755.943517705589
2005,2183.0,2063.7818626438147,1145.313282836216,138.157181242694,1381.87544448372,1755.7702913631601,2343.4600993872555,6755.943517705589
2006,2095.0,2432.1144078726884,1259.374407668234,196.546195652174,1608.9599729320648,2069.87887475363,2840.02605815665,6755.943517705589
2007,2031.0,2613.5431158313336,1338.3212517735424,139.301001397299,1752.168883189705,2231.16731116267,3098.2277627342846,6755.943517705589
2008,2171.0,3100.365423449642,1369.259167006656,178.328657747087,2136.57504300414,2680.76191357453,3663.05958052672,6755.943517705589
2009,2177.0,3204.7006515858648,1391.4420045768134,807.5637576784579,2212.65467602522,2805.7627246815196,3807.6740720298103,6755.943517705589
2010,2114.0,3253.3477164021583,1404.3566861231573,803.973810156873,2255.17087063151,2838.98261469863,3831.1069068487577,6755.943517705589
2011,2141.0,3522.2693369452827,1424.1215414670312,907.190691927512,2467.35583739837,3110.8663378856895,4195.9693405322,6755.943517705589
2012,2070.0,3836.9284106849814,1521.9543067301868,352.83622670411,2623.4112086725527,3416.263676792175,4865.54604426677,6755.943517705589
2013,1988.0,3967.88492637804,1497.7996603165864,1238.24294599018,2762.3301189982176,3585.9356445921403,4945.94550063821,6755.943517705589
2014,2054.0,4344.050695156695,1542.1421155817463,1485.9622003053698,3025.1360168293277,4006.2047800979653,5685.176601952415,6755.943517705589
2015,2057.0,4404.559381567835,1551.552178697879,1436.9064701162101,3100.60409451435,4070.39407298555,5874.52438457966,6755.943517705589
2016,2136.0,4575.122400868367,1528.7424256003317,1505.6744476571398,3304.4549935374826,4282.82669051544,6132.929162992795,6755.943517705589
2017,2150.0,4718.958736592826,1451.7092813236193,237.969373709566,3476.8691612027724,4516.285690360804,6189.170342391908,6755.943517705589
2018,2032.0,4911.721523312611,1422.532123121713,1168.0907959338901,3705.7931587309404,4736.824268479165,6630.7085149818995,6755.943517705589
2019,433.0,4839.639855930639,1429.876569240585,1530.46462233133,3624.16133403135,4585.9530972188,6486.638588313629,6755.943517705589
