ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,17.781527694611164,34.067538486546546,0.0,5.31668016194332,10.6339663828858,20.031191369606,1071.17887261429
1990,2357.0,24.74459149956783,49.83386978813778,0.0,6.111474694589879,13.310933537772,26.4350241545894,1093.23631010795
1991,2361.0,28.559454062367582,45.09742895428763,0.0,8.09626214142636,16.540063107157902,32.2296564195298,1145.4782778864999
1992,2271.0,37.57433569014471,54.88925762431902,0.0,11.1172261242423,22.7350395875529,44.725002194450454,1018.8806112702999
1993,2324.0,40.98820461047235,61.40001809262995,0.0,11.133300348940125,22.74313709793435,47.05407875254787,1217.62299717248
1994,2267.0,50.15504709948947,68.64355643132882,0.0,16.12605443822965,31.5653543307087,57.7833912996223,1093.6710204081598
1995,2245.0,48.707100042629456,68.5558029134152,0.0,12.4070231135545,28.7468220338983,55.191840347630205,758.953671562083
1996,2344.0,63.83402247434842,102.12134817428087,0.0,12.928346327317376,32.04692366465365,70.07057158564704,1655.99603257465
1997,2266.0,102.27094663493016,160.83941369877562,0.0,22.07812081774642,52.25574983165045,115.52587320685299,2209.2165343915303
1998,2277.0,144.4401279450762,210.67554930730722,0.0,27.6107060452238,84.8848199672668,192.202202202202,4762.70175438596
1999,2289.0,168.68577764225768,259.2686664134442,0.0,18.130014858841,79.6226525630594,246.10898858592302,5574.169083203211
2000,2254.0,257.68698198135735,325.6155755668321,0.0,40.54363682623372,162.196250459285,372.1238420665977,5027.00639752923
2001,2024.0,508.15640334605195,457.92551784701465,0.0,225.61600777348798,419.7894441581075,652.4745009650977,6674.72326350606
2002,2322.0,555.5594885114837,415.17742267094434,0.0,284.990511587965,470.9021440125515,708.5092797319143,4604.1267357284605
2003,2324.0,595.8750957752434,478.37749100972695,0.0,294.21012797766775,502.6544641279985,774.2867097678647,6035.83773584906
2004,2291.0,687.3326591799928,554.2892961581765,0.0,336.180930245108,580.292853917631,903.1241060622001,8149.60571637963
2005,2183.0,596.5096391262001,469.7713523899202,0.0,290.6299335005755,534.99695829895,791.9201885569975,4295.022813688211
2006,2095.0,810.0134833147558,587.8213166590913,0.0,421.59623215687304,692.639411452178,1051.687456219485,4916.36263425664
2007,2031.0,926.7425734376552,714.3287460431618,0.0,466.7820002742725,767.314201229781,1207.065595631685,7580.20408163265
2008,2171.0,1101.1046713868157,821.323187199217,0.0,608.251456294881,930.575037147103,1371.3715467801198,10646.3787767133
2009,2177.0,1366.9065400309637,1022.0572267229147,0.0,743.692572764753,1147.96640668444,1679.75457481163,10674.915960452
2010,2114.0,1304.3229121691904,975.6106002071177,0.0,689.9068240158604,1086.883771616485,1637.3679130527573,12862.048084759599
2011,2141.0,1238.957598060567,909.3994549900395,0.0,658.470852017937,1094.8905109489099,1628.70993766043,10100.0491642085
2012,2070.0,1392.0129450636948,1179.7263672575998,0.0,643.7774360520682,1161.686751964265,1900.0511097571375,14357.344578313301
2013,1988.0,1467.1695875704204,1243.647635776985,0.0,665.8560385905747,1228.544857891095,1979.9204268264152,22052.376635514
2014,2054.0,1953.926782749735,2216.0524683363346,0.0,776.7415657194578,1415.392225503125,2444.089083142425,45104.479274611396
2015,2057.0,2024.363868741449,2540.590374961614,0.0,775.8890232839431,1383.6649939312301,2488.12361111111,46470.95967741941
2016,2136.0,2163.2119308141177,2595.574116068509,0.0,811.3621063246266,1470.3692319686152,2654.05701307645,55931.583892617404
2017,2150.0,2053.463830741236,2160.387605496859,0.0,867.3888905577469,1544.4669306281248,2519.095724521252,32130.691558441602
2018,2032.0,2273.0088686575004,2425.200910809778,0.0,954.5391258561067,1702.5009956604,2825.2213535301876,41055.617256637204
2019,433.0,1556.5339112975885,2763.2164601564978,86.7783483359704,478.881205673759,858.007690351153,1646.64613312237,33899.526934378104
