ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,56.159002490214206,74.39675315799236,0.0537974683544304,20.947261663286,37.0932429657014,64.2742109684387,1559.5148690634699
1990,2357.0,80.04535668974887,103.25367486418833,0.068171232586696,27.625421013047298,51.550129157249,95.9536511327225,1579.67968596663
1991,2361.0,106.48728568172801,123.45178864623819,0.08209399167162401,38.767766563823706,70.82162852969809,126.841553843946,1585.21174168297
1992,2271.0,142.9216925171982,183.61041987591315,0.49251067063741,54.6676618582424,95.43822525597271,172.7014710516045,4477.86905345758
1993,2324.0,165.41899193637497,198.84564900941407,5.8045218252331106,64.64940000121149,109.408272617457,194.84838281112803,3241.90553435114
1994,2267.0,210.18278587554346,219.07991182548378,3.2620561482514,95.41965028360849,154.498458242721,245.37623295891603,3279.4565637065602
1995,2245.0,233.60369514305708,222.1790912422177,9.901664493365038,107.075138221699,176.354772305066,281.48792270531396,2447.85294117647
1996,2344.0,336.1777434476848,299.0257409186989,11.3148730350665,163.313139409735,254.164901686439,401.13158874425346,3114.09634551495
1997,2266.0,460.4100383233683,406.04174679804936,36.3136996095254,225.50974412424398,350.890756151676,540.4323144817736,4558.62033898305
1998,2277.0,670.3211346963429,569.5986850590433,7.929414137339919,326.211338582677,544.7465620673739,809.087536940793,6610.50466562986
1999,2289.0,880.1962770847498,710.2573667911558,36.198585533226,400.174570547643,767.404352806415,1077.7264756447,7286.75
2000,2254.0,1085.6154013587864,863.1570714475445,54.390528361901396,520.372768676501,932.2089032907325,1292.45666472017,8940.76702508961
2001,2024.0,1614.4524564634567,1125.7987804089628,20.0177557458315,1039.96768211974,1313.264132850085,1812.5059936753696,14255.286764705901
2002,2322.0,1748.4446386341879,1133.1137530843964,73.2918475311991,1147.2779872508572,1449.038466822095,1964.2232500093598,15627.2196969697
2003,2324.0,1895.7313048519156,1266.3640234324394,60.644848669355895,1226.5860562859725,1569.13465319709,2123.812502055645,14100.593220338998
2004,2291.0,1970.8638911723338,1258.5211667493807,23.5668429003021,1307.771048890485,1691.4815898937,2247.27924382214,14478.0384756321
2005,2183.0,2176.8343087247245,1392.78115629114,138.157181242694,1424.1091363461949,1821.9278031456101,2455.43023274121,16578.9958677686
2006,2095.0,2595.2430887321766,1600.1970133251004,204.310170807453,1672.101646620975,2156.28191589666,2941.518737305325,16788.341261633897
2007,2031.0,2834.0195699737424,1873.7602757280754,143.37610619469,1813.9151289706751,2342.76159061756,3217.9085029427047,25065.693877551003
2008,2171.0,3368.8823347945217,2030.1755586894483,178.328657747087,2214.17205686898,2806.9552781289503,3790.50612524505,22456.684434968
2009,2177.0,3524.556141640049,2040.1652461027697,807.5637576784579,2321.8535547903602,2980.02086346851,3978.91340872375,20920.2855555556
2010,2114.0,3610.568328757959,2091.8457479272734,803.973810156873,2393.229439314145,2999.9506612731548,4097.102008938929,18446.747099768
2011,2141.0,3874.1886296912357,2291.6715950407824,907.190691927512,2580.3136526513,3247.4614900974498,4348.19910752231,38323.921875
2012,2070.0,4319.332807014699,2599.6495501174904,527.652540209344,2725.799224273715,3560.4284526638353,5036.724202394421,29548.220211161402
2013,1988.0,4565.77120659366,2837.3057270903973,1238.24294599018,2889.296240249405,3770.3169427009652,5224.059162092985,46365.905
2014,2054.0,5171.3015549731335,3729.002448929033,1565.40347008405,3159.004245334043,4161.624309939395,5834.948831553293,63398.295336787596
2015,2057.0,5347.404836766351,4005.413603214943,1507.0043479258402,3215.5660242683803,4200.95417688885,6075.31229478293,65099.9677419355
2016,2136.0,5632.408236241006,4101.178936493137,1505.6744476571398,3436.1826176643203,4465.669884744006,6306.942386830754,70470.0033557047
2017,2150.0,5747.132946654844,4080.702180511222,237.969373709566,3565.85439085381,4636.997171471925,6399.417163135214,55508.25042881651
2018,2032.0,6215.628637105766,4492.130370033203,1221.89357582463,3806.249524709505,4887.1329620571105,6816.489706037864,57381.5475663717
2019,433.0,6627.378105556308,6501.942844137468,1530.46462233133,3709.21367788331,4699.73576299214,6683.20525480515,59033.6689520078
