ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,64.04676637197542,70.69792383120604,36.6027607361963,36.6027607361963,37.0932429657014,64.2742109684387,1559.5148690634699
1990,2357.0,85.63945599712076,100.12753608231623,36.6027607361963,36.6027607361963,51.550129157249,95.9536511327225,1579.67968596663
1991,2361.0,110.2331288381269,120.93090292100095,36.6027607361963,38.767766563823706,70.82162852969809,126.841553843946,1585.21174168297
1992,2271.0,145.03581872564567,182.2468481845337,36.6027607361963,54.6676618582424,95.43822525597271,172.7014710516045,4477.86905345758
1993,2324.0,166.5747512970442,198.04358063225877,36.6027607361963,64.64940000121149,109.408272617457,194.84838281112803,3241.90553435114
1994,2267.0,210.6177794652966,218.71929759350175,36.6027607361963,95.41965028360849,154.498458242721,245.37623295891603,3279.4565637065602
1995,2245.0,233.96487246466535,221.84669902997257,36.6027607361963,107.075138221699,176.354772305066,281.48792270531396,2447.85294117647
1996,2344.0,336.21952755914,298.982658713012,36.6027607361963,163.313139409735,254.164901686439,401.13158874425346,3114.09634551495
1997,2266.0,460.410165887855,406.0416135479857,36.6027607361963,225.50974412424398,350.890756151676,540.4323144817736,4558.62033898305
1998,2277.0,670.3337272947614,569.5843513452021,36.6027607361963,326.211338582677,544.7465620673739,809.087536940793,6610.50466562986
1999,2289.0,880.0938475382474,709.3476226736049,36.6027607361963,400.174570547643,767.404352806415,1077.7264756447,7051.884592852959
2000,2254.0,1083.9438830459305,850.0442552425144,54.390528361901396,520.372768676501,932.2089032907325,1292.45666472017,7051.884592852959
2001,2024.0,1599.8234864418455,1023.8517127169107,36.6027607361963,1039.96768211974,1313.264132850085,1812.5059936753696,7051.884592852959
2002,2322.0,1730.2359093692073,1005.4536877254461,73.2918475311991,1147.2779872508572,1449.038466822095,1964.2232500093598,7051.884592852959
2003,2324.0,1869.1465448620356,1104.58302501747,60.644848669355895,1226.5860562859725,1569.13465319709,2123.812502055645,7051.884592852959
2004,2291.0,1945.8808914084086,1110.0360288239767,36.6027607361963,1307.771048890485,1691.4815898937,2247.27924382214,7051.884592852959
2005,2183.0,2139.7830833835824,1188.6158735676265,138.157181242694,1424.1091363461949,1821.9278031456101,2455.43023274121,7051.884592852959
2006,2095.0,2535.0321022666203,1319.5189133802244,204.310170807453,1672.101646620975,2156.28191589666,2941.518737305325,7051.884592852959
2007,2031.0,2729.0188025589687,1401.214658103446,143.37610619469,1813.9151289706751,2342.76159061756,3217.9085029427047,7051.884592852959
2008,2171.0,3218.8148720408153,1409.8996466904307,178.328657747087,2214.17205686898,2806.9552781289503,3790.50612524505,7051.884592852959
2009,2177.0,3364.7502984658186,1454.7080301342519,807.5637576784579,2321.8535547903602,2980.02086346851,3978.91340872375,7051.884592852959
2010,2114.0,3436.745258448525,1485.4184454879219,803.973810156873,2393.229439314145,2999.9506612731548,4097.102008938929,7051.884592852959
2011,2141.0,3658.343568484816,1475.9827375140208,907.190691927512,2580.3136526513,3247.4614900974498,4348.19910752231,7051.884592852959
2012,2070.0,3993.91214938059,1592.2315618924165,527.652540209344,2725.799224273715,3560.4284526638353,5036.724202394421,7051.884592852959
2013,1988.0,4164.7444939966435,1590.5593112214706,1238.24294599018,2889.296240249405,3770.3169427009652,5224.059162092985,7051.884592852959
2014,2054.0,4498.586551089182,1600.9366568613011,1565.40347008405,3159.004245334043,4161.624309939395,5834.948831553293,7051.884592852959
2015,2057.0,4564.459955790799,1624.1798152518586,1507.0043479258402,3215.5660242683803,4200.95417688885,6075.31229478293,7051.884592852959
2016,2136.0,4753.888549819962,1598.8851947028647,1505.6744476571398,3436.1826176643203,4465.669884744006,6306.942386830754,7051.884592852959
2017,2150.0,4872.0141058620675,1528.990009154319,237.969373709566,3565.85439085381,4636.997171471925,6399.417163135214,7051.884592852959
2018,2032.0,5092.283393443581,1494.6269848349934,1221.89357582463,3806.249524709505,4887.1329620571105,6816.489706037864,7051.884592852959
2019,433.0,4995.361757882873,1506.6294120264106,1530.46462233133,3709.21367788331,4699.73576299214,6683.20525480515,7051.884592852959
