ANIO,count,mean,std,min,25%,50%,75%,max
1989,2377.0,9.82498081730881,19.05146195748409,0.0,1.38327077147179,4.25181521861302,10.930125338192301,326.242153357171
1990,2357.0,17.300598294776982,32.987019753447136,0.0,2.2453563714902796,6.8083237877052305,18.481314878892697,467.83954132068
1991,2361.0,25.43593412006374,51.48663590386866,0.0,3.1523715415019797,9.1868571694513,26.2185343411107,1211.48532289628
1992,2271.0,30.39584690082827,56.182249400856215,0.0,4.46801054463706,13.1057296532916,34.08331286597,1006.19176066699
1993,2324.0,32.88024689510535,59.48990538279488,0.0,5.191782114176245,14.0186385919261,38.14019327993044,996.9421416628169
1994,2267.0,34.815392000016224,52.42284133210923,0.0,6.652546719557585,16.821037037037,42.28694123621395,756.395029244666
1995,2245.0,42.65231939070733,68.32372983356973,0.0,8.0773689516129,20.4555305569585,51.9544648137197,1299.5920259697
1996,2344.0,46.22758762852647,72.93946245924393,0.0,8.719614412588264,22.395757397982553,56.92821673798089,943.384167071394
1997,2266.0,56.17778506879483,85.63698801100725,0.0,11.997518915695625,27.913720463942898,69.20222688084871,1072.8292682926801
1998,2277.0,79.32477325798938,122.20119708945106,0.0,13.0215592334495,36.0421037326299,96.7977503785421,1842.42175349922
1999,2289.0,87.79777233236186,139.41174052788668,0.0,16.1686105476673,43.957472135050295,107.006204243703,2298.72182381585
2000,2254.0,101.12435128251519,166.26410020822803,0.0,18.083753059434123,50.209297100296496,120.68938666015474,2624.96496821155
2001,2024.0,301.9498259933387,452.2963055867723,0.0,53.274557906077504,145.0285775575615,364.12947168705244,6741.311111111109
2002,2322.0,140.26199970057073,185.43157636273142,0.0,31.661038921884902,79.68202653134605,178.7756109245015,2578.96507757858
2003,2324.0,158.9693954153087,248.4358079149808,0.0,30.63368094690885,87.1503224416879,197.34319540581754,4982.622687224671
2004,2291.0,178.9315549512517,270.6757674419467,0.0,32.88975215964115,91.8433420365535,228.733753800767,4774.26559185405
2005,2183.0,211.58382397339147,308.22819056834544,0.0,42.69305834632675,112.04711717296999,258.124461735645,3840.4511408583703
2006,2095.0,245.93956092049808,383.2261469308427,0.0,51.97347958847675,129.89184211362,291.67343162763905,6079.63118117037
2007,2031.0,273.3614275395374,440.85737362732505,0.0,48.54497903809385,136.484261501211,332.6075924566545,7215.31161678383
2008,2171.0,300.4923592590704,445.4991015650447,0.0,63.805624695983695,150.697431018078,350.223203109848,4767.48261911597
2009,2177.0,314.3146137741394,512.9997150731544,0.0,62.59272019173161,155.052793400825,360.978369384359,7312.33116178067
2010,2114.0,301.1646103536678,454.1879603567833,0.0,65.47731423223618,153.4179279200705,364.7388836994777,6252.33988269795
2011,2141.0,329.6549477720272,524.0054375232232,0.0,69.6257981252547,165.80767049373802,388.214332115307,10253.9283611384
2012,2070.0,365.8015486517561,571.7929309987654,0.0,77.71167851174204,186.9957169674165,430.67709715003673,11278.5350999535
2013,1988.0,352.55087811208415,514.4764813840654,0.0,83.31863692719702,202.577744465233,433.409554437692,7097.32012516886
2014,2054.0,355.1194321812531,570.1035757560969,0.0,79.09869524532624,196.948621129141,428.853347343927,11534.1452991453
2015,2057.0,395.7878783143392,640.5979396775496,0.0,87.1926298157454,211.99783469228902,472.184799382716,8736.30151098901
2016,2136.0,402.6113218921893,618.665045659331,0.0,85.37131667249743,221.123227005265,501.588079890053,8852.4477548636
2017,2150.0,425.2443501363473,668.8406017554883,0.0,93.37733915782528,238.340171374588,516.0955358285888,11009.9320769006
2018,2032.0,463.0433280953121,779.4699899218309,0.0,112.45444834251698,258.25330332477847,554.028851285706,12317.9817056097
2019,433.0,907.4664491182439,1143.5187436619876,0.642871567043619,353.865538876976,628.616170634921,1091.55719765343,13048.5883424408
